Unnamed: 0,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address,global_x,global_y
3,-1,-100,-100,-100,"-1,-1,-1",-2,-1,0,0,0,0,87,91,10,0,81,-53.83,0,-39.0,19.0,-998.0,14:13:44.119489,192.168.0.115,,
8,-1,-100,-100,-100,"-1,-1,-1",-2,-1,0,0,0,0,87,91,10,0,81,-53.85,0,-39.0,18.0,-999.0,14:13:44.221131,192.168.0.115,,
14,-1,-100,-100,-100,"-1,-1,-1",-2,-1,0,0,0,0,87,91,10,0,81,-53.83,0,-39.0,18.0,-1003.0,14:13:44.323199,192.168.0.115,,
19,-1,-100,-100,-100,"-1,-1,-1",-2,-1,0,0,0,0,87,91,10,0,81,-53.83,0,-39.0,19.0,-1000.0,14:13:44.425471,192.168.0.115,,
20,-1,-100,-100,-100,"-1,-1,-1",-2,0,0,0,0,0,87,91,10,0,81,-53.83,0,-42.0,22.0,-996.0,14:13:44.476325,192.168.0.115,,
25,-1,-100,-100,-100,"-1,-1,-1",-1,0,0,0,0,0,87,91,10,0,81,-53.83,0,-19.0,-4.0,-1005.0,14:13:44.578351,192.168.0.115,,
30,-1,-100,-100,-100,"-1,-1,-1",-1,0,0,0,0,0,87,91,10,0,81,-53.83,0,-44.0,10.0,-1000.0,14:13:44.680419,192.168.0.115,,
35,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,87,91,10,0,81,-53.83,0,-33.0,1.0,-1023.0,14:13:44.782277,192.168.0.115,,
40,-1,-100,-100,-100,"-1,-1,-1",0,0,0,0,0,0,87,91,10,0,81,-53.83,0,0.0,-4.0,-1124.0,14:13:44.884121,192.168.0.115,,
45,-1,-100,-100,-100,"-1,-1,-1",0,0,-1,0,0,-2,88,92,10,0,81,-53.83,0,0.0,-9.0,-1255.0,14:13:44.986248,192.168.0.115,,
50,-1,-100,-100,-100,"-1,-1,-1",0,0,-1,0,0,-5,88,92,10,0,80,-53.83,0,2.0,-14.0,-1195.0,14:13:45.088271,192.168.0.115,,
55,-1,-100,-100,-100,"-1,-1,-1",0,0,-1,0,0,-7,88,92,17,10,80,-53.62,0,-4.0,-4.0,-1068.0,14:13:45.190016,192.168.0.115,,
60,-1,-100,-100,-100,"-1,-1,-1",0,0,-1,0,0,-8,88,92,24,20,80,-53.43,0,-28.0,0.0,-1005.0,14:13:45.292331,192.168.0.115,,
65,-1,-100,-100,-100,"-1,-1,-1",0,0,-1,0,0,-8,88,92,32,20,80,-53.36,1,-3.0,-5.0,-960.0,14:13:45.396360,192.168.0.115,,
70,-1,-100,-100,-100,"-1,-1,-1",0,0,-1,0,0,-8,88,92,38,30,80,-53.33,1,-6.0,-7.0,-901.0,14:13:45.496271,192.168.0.115,,
75,1,19,-3,44,"-1,-11,179",0,0,-1,0,0,-7,88,92,46,40,80,-53.26,1,-9.0,0.0,-887.0,14:13:45.598259,192.168.0.115,19.0,-3.0
80,1,20,-4,46,"1,-11,-179",0,0,0,0,0,-6,88,92,53,40,80,-53.17,1,2.0,-7.0,-878.0,14:13:45.700194,192.168.0.115,20.0,-4.0
86,1,20,-3,56,"0,-11,-179",0,0,-1,0,0,-4,88,92,59,50,80,-53.1,1,-3.0,-2.0,-887.0,14:13:45.802291,192.168.0.115,20.0,-3.0
91,1,20,-3,61,"0,-12,-179",0,0,-1,0,0,-3,88,92,62,50,80,-53.07,1,-8.0,4.0,-907.0,14:13:45.904307,192.168.0.115,20.0,-3.0
96,1,21,-1,63,"0,-11,178",0,0,-1,0,0,-2,88,92,65,60,80,-53.07,1,-1.0,-7.0,-930.0,14:13:46.006261,192.168.0.115,21.0,-1.0
102,1,21,-2,67,"0,-11,179",0,0,0,0,0,-1,88,92,68,60,80,-53.07,1,5.0,-2.0,-939.0,14:13:46.108465,192.168.0.115,21.0,-2.0
108,1,21,-2,68,"0,-11,179",0,0,0,0,0,-1,88,92,69,60,80,-52.99,1,-7.0,0.0,-968.0,14:13:46.211915,192.168.0.115,21.0,-2.0
112,1,21,-1,70,"0,-11,179",0,0,-1,0,0,-1,88,92,71,60,80,-52.96,1,-4.0,-1.0,-979.0,14:13:46.313822,192.168.0.115,21.0,-1.0
118,1,22,-3,72,"0,-12,-178",0,0,-1,0,0,0,88,92,72,60,80,-53.05,2,-8.0,9.0,-993.0,14:13:46.414447,192.168.0.115,22.0,-3.0
123,1,21,0,73,"0,-11,178",0,0,-1,0,0,0,88,92,73,60,80,-52.93,2,-4.0,-1.0,-996.0,14:13:46.516100,192.168.0.115,21.0,0.0
128,1,20,0,75,"-1,-11,178",0,0,-1,0,0,0,88,92,74,60,80,-52.9,2,-4.0,4.0,-1001.0,14:13:46.618187,192.168.0.115,20.0,0.0
133,1,19,0,76,"-2,-11,178",0,0,0,0,0,0,88,92,76,70,80,-52.93,2,-5.0,-3.0,-992.0,14:13:46.720268,192.168.0.115,19.0,0.0
139,1,21,-4,76,"0,-12,-178",0,0,0,0,0,0,88,92,77,70,80,-52.92,2,4.0,-2.0,-992.0,14:13:46.822253,192.168.0.115,21.0,-4.0
144,1,18,1,78,"-2,-10,177",0,0,0,0,0,0,88,92,77,70,80,-52.89,2,4.0,0.0,-1002.0,14:13:46.924989,192.168.0.115,18.0,1.0
149,1,18,1,79,"-2,-10,177",0,0,0,0,0,0,88,92,79,70,80,-52.88,2,7.0,6.0,-983.0,14:13:47.026358,192.168.0.115,18.0,1.0
